Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
Honda,CR-Z,2014,regular unleaded,130.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,38,31,2202,23340
Honda,Civic del Sol,1995,regular unleaded,160.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,27,23,2202,2033
Ford,Explorer Sport Trac,2008,regular unleaded,210.0,6.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,20,14,5657,25400
Volvo,780,1990,regular unleaded,144.0,6.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,19,15,870,2000
Audi,A4,2015,premium unleaded (required),220.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,32,24,3105,35500
Chevrolet,TrailBlazer,2008,premium unleaded (required),390.0,8.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,16,12,1385,37725
Volkswagen,Eos,2016,premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,2.0,Compact,Convertible,30,22,873,31995
Chevrolet,Malibu,2016,regular unleaded,182.0,4.0,DIRECT_DRIVE,front wheel drive,4.0,Midsize,Sedan,46,47,1385,27770
Ford,Ranger,2010,regular unleaded,143.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Regular Cab Pickup,27,22,5657,19105
Toyota,Camry Solara,2008,regular unleaded,210.0,6.0,AUTOMATIC,front wheel drive,2.0,Midsize,Coupe,27,18,2031,24780
Acura,RDX,2016,premium unleaded (recommended),279.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,4dr SUV,29,20,204,42020
Volkswagen,GTI,2013,premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,33,24,873,32095
Mercedes-Benz,C-Class,2017,premium unleaded (required),362.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,29,21,617,52000
Volvo,940,1993,regular unleaded,114.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Wagon,25,17,870,2000
Ford,Five Hundred,2005,regular unleaded,203.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,26,19,5657,24165
Chrysler,300M,2004,regular unleaded,250.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,25,16,1013,29185
Toyota,Avalon,2017,regular unleaded,268.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,30,21,2031,41050
Bentley,Continental Supersports,2011,flex-fuel (premium unleaded required/E85),621.0,12.0,AUTOMATIC,all wheel drive,2.0,Midsize,Coupe,19,12,520,267000
Volvo,V60,2016,regular unleaded,325.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,27,18,870,49200
Volkswagen,New Beetle,2008,regular unleaded,150.0,5.0,AUTOMATIC,front wheel drive,2.0,Compact,2dr Hatchback,29,20,873,20990
Rolls-Royce,Phantom Coupe,2016,premium unleaded (required),453.0,12.0,AUTOMATIC,rear wheel drive,2.0,Large,Coupe,19,11,86,449525
Volkswagen,Golf GTI,2015,premium unleaded (recommended),220.0,4.0,AUTOMATED_MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,33,25,873,30380
Mazda,6,2017,regular unleaded,184.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,34,24,586,21945
Saab,9-3 Griffin,2012,flex-fuel (premium unleaded recommended/E85),220.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,33,20,376,34340
Dodge,Dakota,2008,regular unleaded,210.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Extended Cab Pickup,18,14,1851,29095
Cadillac,XTS,2015,regular unleaded,304.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,26,17,1624,64245
Mercedes-Benz,560-Class,1991,regular unleaded,238.0,8.0,AUTOMATIC,rear wheel drive,2.0,Large,Coupe,16,12,617,2443
Acura,ZDX,2013,premium unleaded (recommended),300.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,23,16,204,50920
Nissan,Altima Hybrid,2011,regular unleaded,198.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,33,33,2009,26800
Mazda,2,2012,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,34,28,586,15370
Toyota,RAV4,2017,regular unleaded,176.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,28,22,2031,28230
Cadillac,XTS,2015,regular unleaded,304.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,26,17,1624,51000
Acura,Integra,1999,regular unleaded,140.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,29,22,204,2827
Chevrolet,Lumina Minivan,1996,regular unleaded,180.0,6.0,AUTOMATIC,front wheel drive,3.0,Compact,Passenger Minivan,24,17,1385,2000
Chevrolet,Cruze,2017,regular unleaded,153.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,40,30,1385,19525
Plymouth,Sundance,1992,regular unleaded,93.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,29,23,535,2000
Plymouth,Colt,1993,regular unleaded,92.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,36,28,535,2000
Nissan,370Z,2017,premium unleaded (required),332.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,18,2009,37070
Subaru,B9 Tribeca,2006,premium unleaded (required),250.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,21,16,640,32295
Saab,9-3,2009,premium unleaded (recommended),210.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Wagon,27,19,376,35315
Volkswagen,Tiguan,2016,premium unleaded (recommended),200.0,4.0,AUTOMATIC,all wheel drive,4.0,Compact,4dr SUV,26,20,873,36420
Pontiac,G5,2007,regular unleaded,173.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,31,22,210,18425
BMW,ALPINA B6 Gran Coupe,2016,premium unleaded (required),600.0,8.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,24,15,3916,122200
Porsche,911,2015,premium unleaded (required),350.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,27,19,1715,84300
Dodge,Caliber,2010,regular unleaded,158.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Wagon,27,23,1851,18060
Ferrari,456M,2002,premium unleaded (required),442.0,12.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,14,9,2774,228625
Chevrolet,HHR,2010,premium unleaded (recommended),260.0,4.0,MANUAL,front wheel drive,4.0,Compact,Wagon,29,21,1385,26255
Ford,C-Max Hybrid,2016,regular unleaded,188.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Wagon,37,42,5657,27170
Dodge,Ram Van,1998,regular unleaded,175.0,6.0,AUTOMATIC,rear wheel drive,3.0,Midsize,Cargo Van,16,13,1851,2034
Volvo,850,1995,regular unleaded,240.0,5.0,AUTOMATIC,front wheel drive,4.0,Midsize,Wagon,24,17,870,2000
Subaru,Tribeca,2013,regular unleaded,256.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,21,16,640,32595
GMC,Sierra 1500HD,2006,regular unleaded,300.0,8.0,AUTOMATIC,four wheel drive,4.0,Large,Crew Cab Pickup,16,13,549,34640
Acura,ILX,2016,premium unleaded (recommended),201.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Compact,Sedan,36,25,204,29900
Chevrolet,C/K 1500 Series,1998,regular unleaded,200.0,6.0,MANUAL,rear wheel drive,2.0,Large,Extended Cab Pickup,21,16,1385,2740
Mazda,MX-3,1994,regular unleaded,88.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,34,25,586,2000
FIAT,500L,2016,premium unleaded (recommended),160.0,4.0,MANUAL,front wheel drive,4.0,Compact,Wagon,33,25,819,23395
Mercedes-Benz,GL-Class,2016,premium unleaded (required),550.0,8.0,AUTOMATIC,all wheel drive,4.0,Large,4dr SUV,17,13,617,119450
Chevrolet,Colorado,2016,regular unleaded,305.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,24,17,1385,32895
Volkswagen,Beetle,2015,regular unleaded,170.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,33,24,873,23605
Audi,S4,2014,premium unleaded (required),333.0,6.0,AUTOMATED_MANUAL,all wheel drive,4.0,Midsize,Sedan,28,18,3105,55400
Kia,Rio,2017,regular unleaded,138.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,36,27,1720,14165
Pontiac,Grand Am,2004,regular unleaded,175.0,6.0,AUTOMATIC,front wheel drive,2.0,Midsize,Coupe,27,18,210,22280
Cadillac,CTS Coupe,2013,regular unleaded,318.0,6.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,27,18,1624,38905
Mazda,6,2016,regular unleaded,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,38,26,586,22995
Dodge,Durango,2015,regular unleaded,290.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,4dr SUV,24,17,1851,43595
Chrysler,Sebring,2008,flex-fuel (unleaded/E85),186.0,6.0,AUTOMATIC,front wheel drive,2.0,Midsize,Convertible,26,18,1013,29275
Subaru,Impreza WRX,2014,premium unleaded (required),305.0,4.0,MANUAL,all wheel drive,4.0,Compact,4dr Hatchback,23,17,640,36495
Cadillac,Escalade ESV,2017,premium unleaded (recommended),420.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,4dr SUV,22,15,1624,81395
Mercedes-Benz,SL-Class,2016,premium unleaded (required),329.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,27,20,617,85050
GMC,Terrain,2015,regular unleaded,182.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr SUV,32,22,549,28060
Porsche,911,2016,premium unleaded (required),560.0,6.0,AUTOMATED_MANUAL,all wheel drive,2.0,Compact,Convertible,24,17,1715,194600
Chevrolet,Traverse,2017,regular unleaded,288.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,4dr SUV,22,15,1385,42045
GMC,Sierra C3,2001,regular unleaded,325.0,8.0,AUTOMATIC,all wheel drive,4.0,Large,Extended Cab Pickup,13,10,549,38370
Pontiac,Bonneville,2005,regular unleaded,205.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,27,18,210,30350
Pontiac,G8,2009,premium unleaded (recommended),415.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,20,13,210,37610
GMC,Terrain,2016,regular unleaded,182.0,4.0,AUTOMATIC,all wheel drive,4.0,Compact,4dr SUV,29,20,549,30050
Toyota,Tundra,2017,flex-fuel (unleaded/E85),381.0,8.0,AUTOMATIC,four wheel drive,4.0,Large,Extended Cab Pickup,17,13,2031,36150
Lexus,ES 300,2001,premium unleaded (required),210.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,24,17,454,31505
Mazda,Protege,2001,regular unleaded,130.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,28,22,586,13885
Ferrari,599,2009,premium unleaded (required),611.0,12.0,MANUAL,rear wheel drive,2.0,Midsize,Coupe,15,11,2774,310543
Lincoln,Town Car,2010,flex-fuel (unleaded/E85),239.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,24,16,61,46925
Chrysler,Sebring,2008,regular unleaded,235.0,6.0,AUTOMATIC,front wheel drive,2.0,Midsize,Convertible,26,16,1013,32715
Infiniti,EX,2011,premium unleaded (recommended),297.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,4dr SUV,24,17,190,37400
GMC,Sierra 1500 Classic,2007,regular unleaded,195.0,6.0,MANUAL,rear wheel drive,2.0,Large,Regular Cab Pickup,21,15,549,15840
Ford,Escape,2017,regular unleaded,168.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr SUV,29,21,5657,23600
Lotus,Elise,2009,premium unleaded (required),189.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,27,21,613,43995
Genesis,G80,2017,premium unleaded (recommended),420.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,23,15,21,54550
Volkswagen,Golf GTI,2015,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,33,25,873,31145
Lexus,GS 350,2016,premium unleaded (required),311.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,26,19,454,50470
Volkswagen,Jetta GLI,2014,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Midsize,Sedan,32,24,873,27925
Mitsubishi,Expo,1993,regular unleaded,136.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,26,19,436,2000
Mitsubishi,Outlander Sport,2017,regular unleaded,148.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr SUV,29,23,436,19795
Land Rover,Defender,1994,regular unleaded,182.0,8.0,MANUAL,four wheel drive,2.0,Compact,2dr SUV,15,12,258,27736
Ford,Mustang SVT Cobra,1999,regular unleaded,320.0,8.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,22,15,5657,5193
Suzuki,Grand Vitara,2011,regular unleaded,166.0,4.0,AUTOMATIC,four wheel drive,4.0,Compact,4dr SUV,23,19,481,22549
Chrysler,Aspen,2009,regular unleaded,385.0,8.0,AUTOMATIC,four wheel drive,4.0,Large,4dr SUV,22,20,1013,45270
Lincoln,Mark LT,2008,regular unleaded,300.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Crew Cab Pickup,16,12,61,38915
Chrysler,Imperial,1993,regular unleaded,150.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,24,17,1013,2000
Kia,Sephia,1999,regular unleaded,125.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,28,21,1720,2000
Ford,Windstar,2002,regular unleaded,200.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Passenger Minivan,21,16,5657,27460
Volkswagen,Eos,2014,premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,2.0,Compact,Convertible,30,22,873,38325
Chevrolet,C/K 1500 Series,1997,regular unleaded,200.0,6.0,MANUAL,four wheel drive,2.0,Large,Extended Cab Pickup,18,14,1385,3046
Mitsubishi,Raider,2008,regular unleaded,210.0,6.0,MANUAL,rear wheel drive,4.0,Compact,Extended Cab Pickup,20,16,436,20490
Mitsubishi,Outlander Sport,2016,regular unleaded,168.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr SUV,28,23,436,22495
Land Rover,Freelander,2003,regular unleaded,174.0,6.0,AUTOMATIC,all wheel drive,4.0,Compact,4dr SUV,19,15,258,31575
Toyota,Tundra,2016,flex-fuel (unleaded/E85),381.0,8.0,AUTOMATIC,four wheel drive,4.0,Large,Extended Cab Pickup,17,13,2031,34220
Dodge,Nitro,2010,regular unleaded,260.0,6.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,20,16,1851,28410
BMW,ActiveHybrid X6,2011,premium unleaded (required),480.0,8.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,19,17,3916,88900
Honda,Crosstour,2013,regular unleaded,192.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,4dr Hatchback,31,22,2202,33015
Mercedes-Benz,500-Class,1993,regular unleaded,315.0,8.0,AUTOMATIC,rear wheel drive,2.0,Large,Coupe,16,12,617,3176
Chevrolet,Camaro,2015,premium unleaded (required),580.0,8.0,MANUAL,rear wheel drive,2.0,Midsize,Convertible,19,14,1385,60705
Lexus,LS 460,2015,premium unleaded (required),386.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,24,16,454,84500
Cadillac,XTS,2017,regular unleaded,304.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,28,18,1624,64595
Ford,F-250,1998,regular unleaded,220.0,8.0,MANUAL,four wheel drive,2.0,Large,Regular Cab Pickup,16,13,5657,3223
Mercedes-Benz,GLA-Class,2016,premium unleaded (required),208.0,4.0,AUTOMATED_MANUAL,all wheel drive,4.0,Compact,4dr SUV,32,24,617,34500
Volkswagen,GTI,2013,premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,33,24,873,29895
Hyundai,Santa Fe,2017,regular unleaded,290.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,24,18,1439,32550
Toyota,Sequoia,2015,regular unleaded,381.0,8.0,AUTOMATIC,four wheel drive,4.0,Large,4dr SUV,17,13,2031,47620
Dodge,Ram 50 Pickup,1991,regular unleaded,116.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Regular Cab Pickup,22,17,1851,2000
Buick,Roadmaster,1995,regular unleaded,260.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Wagon,23,15,155,2000
Suzuki,Forenza,2007,regular unleaded,127.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,28,19,481,15449
Chevrolet,Tahoe,2016,flex-fuel (unleaded/E85),355.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,4dr SUV,23,16,1385,52030
Toyota,Venza,2013,regular unleaded,181.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Wagon,26,20,2031,31510
Cadillac,XLR,2007,regular unleaded,320.0,8.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,24,15,1624,78335
Chevrolet,Traverse,2016,regular unleaded,288.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,22,15,1385,44145
Acura,CL,2003,premium unleaded (required),260.0,6.0,MANUAL,front wheel drive,2.0,Midsize,Coupe,26,17,204,30550
Subaru,Outback,2015,regular unleaded,175.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,33,25,640,29995
Chevrolet,Venture,2003,regular unleaded,185.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Passenger Minivan,22,16,1385,33790
Ford,Escape Hybrid,2011,regular unleaded,177.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr SUV,31,34,5657,33080
Ford,Escort,2002,regular unleaded,130.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,31,22,5657,13860
Toyota,Tundra,2016,flex-fuel (unleaded/E85),381.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Extended Cab Pickup,18,13,2031,32650
Cadillac,XT5,2017,premium unleaded (required),310.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,26,18,1624,62500
Oldsmobile,Bravada,2002,regular unleaded,270.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,19,14,26,34745
Pontiac,Torrent,2009,regular unleaded,264.0,6.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr SUV,24,17,210,29420
Chevrolet,Traverse,2015,regular unleaded,281.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,23,16,1385,38295
Nissan,Stanza,1992,regular unleaded,138.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,26,19,2009,2000
Volvo,XC70,2016,regular unleaded,250.0,5.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,26,19,870,47175
Volkswagen,Beetle Convertible,2015,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,2.0,Compact,Convertible,31,23,873,31495
Mazda,Protege5,2002,regular unleaded,130.0,4.0,MANUAL,front wheel drive,4.0,Compact,Wagon,28,22,586,16455
Acura,TSX,2012,premium unleaded (recommended),201.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,31,22,204,33110
GMC,Terrain,2015,regular unleaded,182.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr SUV,32,22,549,35490
Subaru,Forester,2015,premium unleaded (required),250.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,28,23,640,33095
Maserati,Coupe,2004,premium unleaded (required),390.0,8.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,15,10,238,81013
Toyota,Venza,2013,regular unleaded,181.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,26,20,2031,29300
Honda,Element,2010,regular unleaded,166.0,4.0,AUTOMATIC,all wheel drive,4.0,Compact,4dr SUV,24,19,2202,21775
Suzuki,Sidekick,1998,regular unleaded,95.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Convertible SUV,24,21,481,2000
Nissan,Cube,2012,regular unleaded,122.0,4.0,MANUAL,front wheel drive,4.0,Compact,Wagon,30,25,2009,14980
Bentley,Continental GT,2015,flex-fuel (premium unleaded required/E85),567.0,12.0,AUTOMATIC,all wheel drive,2.0,Midsize,Coupe,21,12,520,203500
Land Rover,Freelander,2003,regular unleaded,174.0,6.0,AUTOMATIC,all wheel drive,4.0,Compact,4dr SUV,19,15,258,24975
Dodge,Shadow,1993,regular unleaded,100.0,4.0,MANUAL,front wheel drive,2.0,Compact,Convertible,29,22,1851,2000
Porsche,Cayman,2015,premium unleaded (required),340.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,19,1715,75200
GMC,Canyon,2015,regular unleaded,200.0,4.0,AUTOMATIC,four wheel drive,4.0,Compact,Extended Cab Pickup,25,19,549,27935
GMC,Jimmy,1999,regular unleaded,190.0,6.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,19,14,549,2691
Ford,Bronco,1995,regular unleaded,205.0,8.0,MANUAL,four wheel drive,2.0,Midsize,2dr SUV,16,12,5657,2620
Volkswagen,Jetta SportWagen,2012,diesel,140.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Compact,Wagon,39,29,873,28390
Mercedes-Benz,400-Class,1993,regular unleaded,275.0,8.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,22,16,617,2278
Chrysler,Town and Country,2016,flex-fuel (unleaded/E85),283.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Passenger Minivan,25,17,1013,35845
GMC,Terrain,2017,regular unleaded,182.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr SUV,31,21,549,34275
Ford,Explorer,2016,regular unleaded,365.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,22,16,5657,43500
Infiniti,Q50,2017,premium unleaded (required),400.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,26,20,190,48700
Infiniti,Q60 Coupe,2014,premium unleaded (required),348.0,6.0,MANUAL,rear wheel drive,2.0,Midsize,Coupe,25,17,190,51750
Buick,Terraza,2006,regular unleaded,201.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Passenger Minivan,23,16,155,29750
Suzuki,Swift,2000,regular unleaded,79.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,38,31,481,2000
Nissan,Murano,2017,regular unleaded,260.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,28,21,2009,40780
Lexus,RX 400h,2007,regular unleaded,268.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,25,27,454,42580
Lexus,GS 350,2015,premium unleaded (required),306.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,26,19,454,57330
Volvo,XC60,2015,regular unleaded,325.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,24,17,870,47200
Mazda,3,2016,regular unleaded,155.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,40,30,586,21795
Kia,Optima,2015,regular unleaded,274.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,31,20,1720,35500
Chevrolet,Silverado 1500,2015,flex-fuel (unleaded/E85),285.0,6.0,AUTOMATIC,four wheel drive,2.0,Large,Regular Cab Pickup,22,17,1385,37125
Nissan,200SX,1996,regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,29,21,2009,2000
Mazda,MX-3,1995,regular unleaded,88.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,34,25,586,2000
Kia,Sedona,2017,regular unleaded,276.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Passenger Minivan,25,18,1720,36900
Volkswagen,Phaeton,2005,premium unleaded (recommended),335.0,8.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,21,14,873,66950
Lamborghini,Aventador,2014,premium unleaded (required),700.0,12.0,AUTOMATED_MANUAL,all wheel drive,2.0,Midsize,Convertible,16,10,1158,441600
Ford,Expedition,2016,regular unleaded,365.0,6.0,AUTOMATIC,four wheel drive,4.0,Large,4dr SUV,20,15,5657,48360
Cadillac,Escalade,2016,premium unleaded (recommended),420.0,8.0,AUTOMATIC,four wheel drive,4.0,Large,4dr SUV,21,15,1624,91950
GMC,Savana,2015,flex-fuel (unleaded/E85),285.0,8.0,AUTOMATIC,rear wheel drive,3.0,Midsize,Passenger Van,17,11,549,34015
Honda,Accord Hybrid,2014,regular unleaded,195.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,45,50,2202,29155
Dodge,Shadow,1993,regular unleaded,93.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,29,23,1851,2000
Toyota,Corolla,2015,regular unleaded,132.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,38,29,2031,22025
Infiniti,M35,2009,premium unleaded (recommended),303.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,25,17,190,45800
Toyota,Tundra,2015,regular unleaded,381.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Extended Cab Pickup,18,13,2031,30010
Chevrolet,Black Diamond Avalanche,2013,flex-fuel (unleaded/E85),320.0,8.0,AUTOMATIC,four wheel drive,4.0,Large,Crew Cab Pickup,21,15,1385,47885
Toyota,Sienna,2017,regular unleaded,296.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Passenger Minivan,27,19,2031,40830
Toyota,Tacoma,2017,regular unleaded,278.0,6.0,MANUAL,four wheel drive,4.0,Compact,Crew Cab Pickup,20,17,2031,40760
Dodge,Caliber,2011,regular unleaded,172.0,4.0,MANUAL,front wheel drive,4.0,Compact,Wagon,29,23,1851,20585
Porsche,911,2016,premium unleaded (required),500.0,6.0,AUTOMATED_MANUAL,rear wheel drive,2.0,Compact,Coupe,20,14,1715,175900
Volkswagen,CC,2017,premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Midsize,Sedan,31,22,873,37820
Buick,Reatta,1991,regular unleaded,170.0,6.0,AUTOMATIC,front wheel drive,2.0,Compact,Coupe,25,16,155,2000
Audi,S4,2014,premium unleaded (required),333.0,6.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,26,17,3105,48100
Hyundai,Veracruz,2011,regular unleaded,260.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,21,16,1439,36095
Chevrolet,Camaro,2016,premium unleaded (recommended),275.0,4.0,MANUAL,rear wheel drive,2.0,Midsize,Convertible,30,21,1385,32700
Porsche,Cayman,2016,premium unleaded (required),275.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,30,20,1715,52600
Hyundai,Accent,2014,regular unleaded,138.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,38,27,1439,16395
Suzuki,XL-7,2004,regular unleaded,185.0,6.0,MANUAL,rear wheel drive,4.0,Midsize,4dr SUV,20,15,481,20099
Cadillac,ATS,2015,flex-fuel (unleaded/E85),321.0,6.0,AUTOMATIC,all wheel drive,4.0,Compact,Sedan,26,18,1624,48715
